,name,adress,rooms,size,level,repair,wall,price
157,1-комнатная квартира в аренду,"город Ташкент, Чиланзарский район",1,30 м²,3/4,Евроремонт,Панельный,400 у.е./мес.
158,2-комнатная квартира на продажу,"город Ташкент, Юнусабадский район, Минор",2,60 м²,7/10,Евроремонт,Кирпичный,140 000 у.е.
159,3-комнатная квартира на продажу,"город Ташкент, Мирабадский район, Афросиаб",3,80 м²,6/9,Евроремонт,Панельный,129 000 у.е.
160,1-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район, Оккургон",1,45 м²,4/4,Телевизор,Парковочное место,500 у.е./мес.
161,2-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район, проспект Мустакиллик",2,70 м²,18/18,Евроремонт,Монолитный,89 000 у.е.
162,6+ комнатный частный дом на продажу,"Ташкентская область, Кибрайский район",6+,4.5 сот.,450 м²,Евроремонт,Кирпичный,110 000 у.е.
163,2-комнатная квартира на продажу,"город Ташкент, Юнусабадский район, Минор",2,60 м²,7/10,Евроремонт,Кирпичный,140 000 у.е.
164,1-комнатная квартира на продажу,"город Ташкент, Яшнободский район",1,40 м²,2/5,Евроремонт,Кирпичный,44 000 у.е.
165,1-комнатная квартира на продажу,"город Ташкент, Чиланзарский район, Арнасой",1,30 м²,4/4,Евроремонт,Панельный,41 500 у.е.
166,2-комнатная квартира в аренду,"город Ташкент, Яккасарайский район, Юнус Ражабий",2,55 м²,7/9,,,800 у.е./мес.
167,3-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район",3,75 м²,4/5,Евроремонт,Кирпичный,600 у.е./мес.
168,3-комнатная квартира на продажу,"город Ташкент, Яккасарайский район",3,55 м²,3/4,Парковочное место,Телефонная линия,63 500 у.е.
169,2-комнатная квартира в аренду,"город Ташкент, Мирзо-Улугбекский район",2,50 м²,1/5,Евроремонт,Кирпичный,600 у.е./мес.
170,6+ комнатный частный дом на продажу,"Ташкентская область, Кибрайский район",6+,9.48 сот.,100 м²,Черновая отделка,Другое,120 000 у.е.
171,3-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Саида Барака",3,105 м²,2/9,Евроремонт,Кирпичный,2 000 у.е./мес.
172,3-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Саида Барака",3,125 м²,4/7,Евроремонт,Кирпичный,1 400 у.е./мес.
173,4-комнатная квартира в аренду,"город Ташкент, Юнусабадский район, Отчопар-1",4,110 м²,2/8,Евроремонт,Кирпичный,1 300 у.е./мес.
174,1-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район",1,40 м²,6/6,Требует ремонта,Кирпичный,38 500 у.е.
175,3-комнатная квартира в аренду,"город Ташкент, Яшнободский район",3,107 м²,4/7,Евроремонт,Кирпичный,1 200 у.е./мес.
176,1-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район",1,30 м²,5/5,Черновая отделка,Кирпичный,35 500 у.е.
177,4-комнатная квартира в аренду,"город Ташкент, Юнусабадский район, Кашгар",4,120 м²,4/6,Евроремонт,Кирпичный,1 500 у.е./мес.
178,3-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Айбека",3,85 м²,4/4,Черновая отделка,Кондиционер,800 у.е./мес.
179,4-комнатная квартира в аренду,"город Ташкент, Мирабадский район, Фидокор",4,180 м²,2/7,Евроремонт,Кирпичный,2 000 у.е./мес.
180,4-комнатная квартира на продажу,"город Ташкент, Учтепинский район",4,78 м²,1/4,Черновая отделка,Панельный,77 000 у.е.
181,2-комнатная квартира на продажу,"город Ташкент, Мирабадский район, Истикбол",2,63 м²,6/6,Требует ремонта,Лифт,57 000 у.е.
182,2-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район, жилой комплекс Goldhill",2,58 м²,2/9,Евроремонт,Кирпичный,70 000 у.е.
183,2-комнатная квартира на продажу,"город Ташкент, Мирабадский район",2,51.76 м²,2/12,Черновая отделка,Кирпичный,120 000 у.е.
184,4-комнатная квартира на продажу,"город Ташкент, Яшнободский район, Махтумкули",4,127 м²,3/9,Евроремонт,Кирпичный,154 000 у.е.
185,3-комнатная квартира на продажу,"город Ташкент, Янгихаётский район",3,72.6 м²,4/9,Евроремонт,Кирпичный,60 000 у.е.
186,2-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",2,67.3 м²,4/5,Требует ремонта,Лифт,73 000 у.е.
187,2-комнатная квартира на продажу,"город Ташкент, Мирабадский район, жилой комплекс Greenwich",2,53 м²,4/8,Евроремонт,Кирпичный,81 000 у.е.
188,2-комнатная квартира на продажу,"город Ташкент, Яшнободский район",2,65 м²,2/9,Средний,Лифт,68 900 у.е.
189,1-комнатная квартира на продажу,"город Ташкент, Мирзо-Улугбекский район, Лашкарбеги",1,48 м²,13/26,Требует ремонта,Кирпичный,72 999 у.е.
