adress,rooms,size,floor,level,repair,wall,price
 Олмазорский район,2,64.0,7,8,Евроремонт,Монолитный,950.0
 Мирзо-Улугбекский район,2,55.0,4,4,Авторский проект,Кирпичный,850.0
 Чиланзарский район,3,57.0,5,5,Евроремонт,Кирпичный,550.0
 Мирзо-Улугбекский район,2,67.0,6,9,Евроремонт,Панельный,500.0
 Яшнободский район,3,70.0,2,2,Евроремонт,Кирпичный,750.0
 Юнусабадский район,4,92.0,9,9,Евроремонт,Панельный,900.0
 Мирабадский район,3,130.0,2,8,Евроремонт,Кирпичный,1500.0
 Мирабадский район,3,95.0,6,8,Евроремонт,Монолитный,1100.0
 Яккасарайский район,1,49.0,10,13,Авторский проект,Монолитный,1000.0
 Мирабадский район,2,60.0,4,9,Авторский проект,Панельный,900.0
 Чиланзарский район,2,62.0,2,9,Евроремонт,Панельный,700.0
 Юнусабадский район,2,60.0,5,9,Авторский проект,Кирпичный,1150.0
 Юнусабадский район,2,60.0,6,9,Евроремонт,Панельный,1100.0
 Мирзо-Улугбекский район,2,57.0,4,5,Средний,Панельный,262.81
 Мирзо-Улугбекский район,1,49.0,19,26,Авторский проект,Кирпичный,1200.0
 Юнусабадский район,3,65.0,3,9,Средний,Монолитный,550.0
 Мирабадский район,3,75.0,5,8,Евроремонт,Кирпичный,1000.0
 Мирабадский район,3,130.0,2,8,Евроремонт,Кирпичный,1500.0
 Яккасарайский район,4,100.0,2,4,Евроремонт,Кирпичный,1000.0
 Яшнободский район,2,42.0,3,9,Евроремонт,Кирпичный,500.0
 Юнусабадский район,3,87.0,9,9,Евроремонт,Кирпичный,1000.0
 Чиланзарский район,4,174.0,7,9,Евроремонт,Кирпичный,600.0
 Мирзо-Улугбекский район,3,105.0,5,9,Евроремонт,Кирпичный,800.0
 Мирзо-Улугбекский район,3,70.0,4,9,Средний,Монолитный,350.0
 Юнусабадский район,3,106.0,5,10,Евроремонт,Кирпичный,2000.0
 Мирзо-Улугбекский район,3,89.0,6,9,Евроремонт,Кирпичный,1000.0
 Юнусабадский район,3,103.0,4,9,Евроремонт,Кирпичный,1200.0
 Мирабадский район,4,188.0,6,7,Евроремонт,Кирпичный,1700.0
 Янгихаётский район,2,74.0,5,8,Авторский проект,Кирпичный,400.0
 Мирабадский район,4,173.0,6,7,Евроремонт,Кирпичный,1500.0
 Мирабадский район,4,183.0,6,8,Евроремонт,Кирпичный,1500.0
 Мирабадский район,4,104.0,6,9,Евроремонт,Монолитный,800.0
 Шайхантахурский район,3,73.0,2,9,Евроремонт,Панельный,550.0
 Чиланзарский район,2,37.0,1,4,Евроремонт,Панельный,400.0
 Мирабадский район,3,175.0,5,6,Авторский проект,Кирпичный,3000.0
 Шайхантахурский район,3,90.0,5,5,Авторский проект,Панельный,500.0
 Яккасарайский район,2,65.0,3,8,Евроремонт,Кирпичный,1000.0
 Юнусабадский район,2,50.0,5,9,Евроремонт,Панельный,700.0
 Мирзо-Улугбекский район,2,50.0,3,5,Евроремонт,Кирпичный,600.0
 Шайхантахурский район,2,59.0,7,10,Евроремонт,Кирпичный,1400.0
 Чиланзарский район,3,80.0,2,4,Евроремонт,Кирпичный,700.0
 Яшнободский район,1,35.0,4,4,Авторский проект,Панельный,280.0
 Шайхантахурский район,2,50.0,6,9,Евроремонт,Панельный,600.0
 Юнусабадский район,3,70.0,6,9,Евроремонт,Панельный,600.0
 Шайхантахурский район,2,50.0,3,9,Евроремонт,Панельный,750.0
 Чиланзарский район,2,50.0,4,4,Средний,Кирпичный,400.0
 Чиланзарский район,1,40.0,3,4,Евроремонт,Кирпичный,400.0
 Мирзо-Улугбекский район,1,40.0,2,4,Евроремонт,Кирпичный,350.0
 Чиланзарский район,2,50.0,1,4,Евроремонт,Кирпичный,750.0
 Мирабадский район,3,90.0,3,5,Евроремонт,Кирпичный,1000.0
 Учтепинский район,3,65.0,2,5,Средний,Кирпичный,400.0
 Юнусабадский район,2,50.0,4,4,Евроремонт,Панельный,550.0
 Учтепинский район,2,45.0,4,9,Евроремонт,Монолитный,400.0
 Шайхантахурский район,2,70.0,6,9,Авторский проект,Панельный,900.0
 Яшнободский район,2,60.0,2,5,Средний,Панельный,500.0
 Шайхантахурский район,3,120.0,5,5,Средний,Панельный,550.0
 Чиланзарский район,2,46.0,3,4,Евроремонт,Кирпичный,400.0
 Чиланзарский район,3,6.0,3,4,Средний,Панельный,600.0
 Чиланзарский район,1,37.0,6,7,Евроремонт,Кирпичный,550.0
 Шайхантахурский район,2,50.0,4,4,Евроремонт,Кирпичный,550.0
 Яшнободский район,1,36.0,7,9,Евроремонт,Монолитный,550.0
 Чиланзарский район,1,41.0,2,2,Средний,Кирпичный,250.0
 Яшнободский район,2,40.0,2,4,Средний,Панельный,350.0
 Мирабадский район,3,105.0,2,8,Авторский проект,Кирпичный,2000.0
 Юнусабадский район,3,77.0,4,9,Евроремонт,Кирпичный,900.0
